No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
900,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
901,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
902,MDLA,Medela Potentia Tbk.,15 Apr 2025,14.012.825.000,Utama
903,DKHH,Cipta Sarana Medika Tbk.,08 Mei 2025,2.550.312.624,Pengembangan
904,AYLS,Arkayana Lestari Grup Tbk.,12 Feb 2020,853.423.236,Pengembangan
905,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan
906,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,683.810.725,Pengembangan
907,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pengembangan
908,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
909,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
910,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,33.250.000.000,Pengembangan
911,PIPA,Oxala Energy International Tbk,10 Apr 2023,3.426.097.190,Pengembangan
912,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Pengembangan
913,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Pemantauan Khusus
914,AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
915,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
916,RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
917,DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pengembangan
918,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
919,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
920,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
921,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
922,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.345.537,Pengembangan
923,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.605.674,Akselerasi
924,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
925,FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
926,DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
927,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
928,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1.375.000.000,Pengembangan
929,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
930,CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,4.113.331.485,Pengembangan
931,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
932,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,14.731.366.060,Pengembangan
933,PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,1.920.809.341,Pengembangan
934,RLCO,Abadi Lestari Indonesia Tbk.,08 Des 2025,3.125.000.000,Pengembangan
935,SUPA,Super Bank Indonesia Tbk.,17 Des 2025,33.558.047.450,Pengembangan
936,WBSA,BSA Logistics Indonesia Tbk.,10 Apr 2026,8.675.000.000,Pengembangan
937,JECX,Nitrasanata Dharma Tbk.,07 Jul 2026,3.253.222.300,Utama
938,JELI,Niramas Utama Tbk.,07 Jul 2026,1.266.000.000,Pengembangan
939,EMMI,Esa Medika Mandiri Tbk.,08 Jul 2026,1.742.857.000,Pengembangan
940,BACH,Bach Multi Global Tbk.,08 Jul 2026,4.084.430.000,Utama
941,PRDL,Prodia Diagnostic Line Tbk.,09 Jul 2026,1.742.900.000,Pengembangan
942,RANS,Rans Entertainmen Indonesia Tb,10 Jul 2026,12.609.250.000,Pengembangan
943,WMPP,Widodo Makmur Perkasa Tbk.,06 Des 2021,29.419.000.000,Pemantauan Khusus
944,RMKE,RMK Energy Tbk.,07 Des 2021,21.875.000.000,Utama
945,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan
946,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama
947,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pemantauan Khusus
948,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
949,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,1.850.225.000,Pengembangan
950,DRMA,Dharma Polimetal Tbk.,20 Des 2021,4.705.882.300,Utama
951,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan
952,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
953,ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,28.800.494.200,Utama
954,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
955,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
956,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
957,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
958,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pengembangan
959,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
960,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus
961,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
962,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
